Date,Close,Volume,Open,High,Low
01/06/2012,0.055,26.0,0.055,0.055,0.055
01/09/2012,0.055,440.0,0.055,0.055,0.055
01/10/2012,0.085,42.0,0.055,0.085,0.055
01/11/2012,0.085,,0.085,0.085,0.085
01/12/2012,0.055,10.0,0.055,0.055,0.055
01/13/2012,0.055,74.0,0.055,0.055,0.055
01/17/2012,0.055,7.0,0.055,0.055,0.055
01/18/2012,0.055,,0.055,0.055,0.055
01/19/2012,0.055,100.0,0.055,0.055,0.055
01/20/2012,0.055,46.0,0.055,0.055,0.055
01/23/2012,0.055,200.0,0.055,0.055,0.055
01/24/2012,0.055,,0.055,0.055,0.055
01/25/2012,0.085,430.0,0.085,0.085,0.085
01/26/2012,0.055,228.0,0.055,0.055,0.055
01/27/2012,0.085,20.0,0.085,0.085,0.085
01/30/2012,0.085,,0.085,0.085,0.085
01/31/2012,0.055,10.0,0.055,0.055,0.055
02/01/2012,0.055,260.0,0.085,0.085,0.055
02/02/2012,0.1,5750.0,0.085,0.1,0.075
02/03/2012,0.12,200.0,0.12,0.12,0.12
02/06/2012,0.1,40.0,0.075,0.1,0.075
02/07/2012,0.075,10.0,0.075,0.075,0.075
02/08/2012,0.075,,0.075,0.075,0.075
02/09/2012,0.075,,0.075,0.075,0.075
02/10/2012,0.075,,0.075,0.075,0.075
02/13/2012,0.075,460.0,0.075,0.075,0.075
02/14/2012,0.1,2000.0,0.1,0.1,0.1
02/15/2012,0.075,120.0,0.075,0.075,0.075
02/16/2012,0.085,402.0,0.1,0.1,0.085
02/17/2012,0.12,242.0,0.085,0.12,0.085
02/21/2012,0.12,,0.12,0.12,0.12
02/22/2012,0.12,,0.12,0.12,0.12
02/23/2012,0.08,10.0,0.08,0.08,0.08
02/24/2012,0.08,,0.08,0.08,0.08
02/27/2012,0.125,3064.0,0.09,0.125,0.09
02/28/2012,0.125,,0.125,0.125,0.125
02/29/2012,0.105,652.0,0.105,0.105,0.105
